#Cas(sec) 	#srazky(mm)	#Vypary(mm)
1807200	0	-0.0020259900
1810800	0	-0.0020259900
1814400	0	0.0000000000
1818000	0	0.0000000000
1821600	0	0.0000000000
1825200	0	0.0000000000
1828800	0	0.0000000000
1832400	0	0.0000000000
1836000	0	0.0000000000
1839600	0	0.0000000000
1843200	0	0.0000000000
1846800	0	0.0000000000
1850400	0	0.0000000000
1854000	0	0.0000000000
1857600	0	0.0000000000
1861200	0	0.0000000000
1864800	0	0.0000000000
1868400	0	0.0000000000
1872000	0	0.0000000000
1875600	0	0.0000000000
1879200	0	0.0000000000
1882800	0	0.0000000000
1886400	0	0.0000000000
1890000	0	0.0000000000
1893600	0	0.0000000000
1897200	0	0.0000000000
1900800	0	0.0000000000
1904400	0	0.0000000000
1908000	0	0.0000000000
1911600	0	0.0000000000
1915200	0	0.0000000000
1918800	0	0.0000000000
1922400	0	0.0000000000
1926000	0	0.0000000000
1929600	0	0.0000000000
1933200	0	0.0000000000
1936800	0	0.0000000000
1940400	0	0.0000000000
1944000	0	0.0000000000
1947600	0	0.0000000000
1951200	0	0.0000000000
1954800	0	0.0000000000
1958400	0	0.0000000000
1962000	0	0.0000000000
1965600	0	0.0000000000
1969200	0	0.0000000000
1972800	0	0.0000000000
1976400	0	0.0000000000
1980000	0	0.0000000000
1983600	0	0.0000000000
1987200	0	0.0000000000
1990800	0	0.0000000000
1994400	0	0.0000000000
1998000	0	0.0000000000
2001600	0	0.0000000000
2005200	0	0.0000000000
2008800	0	0.0000000000
2012400	0	0.0000000000
2016000	0	0.0000000000
2019600	0	0.0000000000
2023200	0	0.0000000000
2026800	0	0.0000000000
2030400	0	0.0000000000
2034000	0	0.0000000000
2037600	0	0.0000000000
2041200	0	0.0000000000
2044800	0	0.0000000000
2048400	0	0.0000000000
2052000	0	0.0000000000
2055600	0	0.0000000000
2059200	0	0.0000000000
2062800	0	0.0000000000
2066400	0	0.0000000000
2070000	0	0.0000000000
2073600	0	-0.0162112800
2077200	0	-0.0162112800
2080800	0	-0.0162112800
2084400	0	-0.0162112800
2088000	0	-0.0162112800
2091600	0	-0.0162112800
2095200	0	-0.0162112800
2098800	0	-0.0162112800
2102400	0	-0.0162112800
2106000	0	-0.0162112800
2109600	0	-0.0162112800
2113200	0	-0.0162112800
2116800	0	-0.0162112800
2120400	0	-0.0162112800
2124000	0	-0.0162112800
2127600	0	-0.0162112800
2131200	0	-0.0162112800
2134800	0	-0.0162112800
2138400	0	-0.0162112800
2142000	0	-0.0162112800
2145600	0	-0.0162112800
2149200	0	-0.0162112800
2152800	0	-0.0162112800
2156400	0	-0.0162112800
2160000	0	-0.0229781100
2163600	0	-0.0229781100
2167200	0	-0.0229781100
2170800	0	-0.0229781100
2174400	0	-0.0229781100
2178000	0	-0.0229781100
2181600	0	-0.0229781100
2185200	0	-0.0229781100
2188800	0	-0.0229781100
2192400	0	-0.0229781100
2196000	0	-0.0229781100
2199600	0	-0.0229781100
2203200	0	-0.0229781100
2206800	0	-0.0229781100
2210400	0	-0.0229781100
2214000	0	-0.0229781100
2217600	0	-0.0229781100
2221200	0	-0.0229781100
2224800	0	-0.0229781100
2228400	0	-0.0229781100
2232000	0	-0.0229781100
2235600	0	-0.0229781100
2239200	0	-0.0229781100
2242800	0	-0.0229781100
2246400	0	-0.0045004600
2250000	0	-0.0045004600
2253600	0	-0.0045004600
2257200	0	-0.0045004600
2260800	0	-0.0045004600
2264400	0	-0.0045004600
2268000	0	-0.0045004600
2271600	0	-0.0045004600
2275200	0	-0.0045004600
2278800	0	-0.0045004600
2282400	0	-0.0045004600
2286000	0	-0.0045004600
2289600	0	-0.0045004600
2293200	0	-0.0045004600
2296800	0	-0.0045004600
2300400	0	-0.0045004600
2304000	0	-0.0045004600
2307600	0	-0.0045004600
2311200	0	-0.0045004600
2314800	0	-0.0045004600
2318400	0	-0.0045004600
2322000	0	-0.0045004600
2325600	0	-0.0045004600
2329200	0	-0.0045004600
2332800	0	0.0000000000
2336400	0	0.0000000000
2340000	0	0.0000000000
2343600	0	0.0000000000
2347200	0	0.0000000000
2350800	0	0.0000000000
2354400	0	0.0000000000
2358000	0	0.0000000000
2361600	0	0.0000000000
2365200	0	0.0000000000
2368800	0	0.0000000000
2372400	0	0.0000000000
2376000	0	0.0000000000
2379600	0	0.0000000000
2383200	0	0.0000000000
2386800	0	0.0000000000
2390400	0	0.0000000000
2394000	0	0.0000000000
2397600	0	0.0000000000
2401200	0.2	0.0000000000
2404800	0	0.0000000000
2408400	0	0.0000000000
2412000	0	0.0000000000
2415600	0.6	0.0000000000
2419200	0	0.0000000000
2422800	0.6	0.0000000000
2426400	0.2	0.0000000000
2430000	0	0.0000000000
2433600	0	0.0000000000
2437200	0.2	0.0000000000
2440800	0.7	0.0000000000
2444400	0.2	0.0000000000
2448000	0.2	0.0000000000
2451600	0	0.0000000000
2455200	0	0.0000000000
2458800	0	0.0000000000
2462400	0.2	0.0000000000
2466000	0	0.0000000000
2469600	0	0.0000000000
2473200	0	0.0000000000
2476800	0	0.0000000000
2480400	0	0.0000000000
2484000	1.2	0.0000000000
2487600	0.7	0.0000000000
2491200	0.7	0.0000000000
2494800	0.2	0.0000000000
2498400	0.1	0.0000000000
2502000	0.1	0.0000000000
2505600	0	0.0000000000
2509200	0	0.0000000000
2512800	0	0.0000000000
2516400	0	0.0000000000
2520000	0	0.0000000000
2523600	0	0.0000000000
2527200	0	0.0000000000
2530800	0	0.0000000000
2534400	0	0.0000000000
2538000	0	0.0000000000
2541600	0	0.0000000000
2545200	0	0.0000000000
2548800	0	0.0000000000
2552400	0	0.0000000000
2556000	0	0.0000000000
2559600	0	0.0000000000
2563200	0	0.0000000000
2566800	0	0.0000000000
2570400	0	0.0000000000
2574000	0.2	0.0000000000
2577600	0	0.0000000000
2581200	0	0.0000000000
2584800	0	0.0000000000
2588400	0.6	0.0000000000
2592000	0	-0.0035011700
2595600	0.6	-0.0035011700
2599200	0.2	-0.0035011700
2602800	0	-0.0035011700
2606400	0	-0.0035011700
2610000	0.2	-0.0035011700
2613600	0.7	-0.0035011700
2617200	0.2	-0.0035011700
2620800	0.2	-0.0035011700
2624400	0	-0.0035011700
2628000	0	-0.0035011700
2631600	0	-0.0035011700
2635200	0.2	-0.0035011700
2638800	0	-0.0035011700
2642400	0	-0.0035011700
2646000	0	-0.0035011700
2649600	0	-0.0035011700
2653200	0	-0.0035011700
2656800	1.2	-0.0035011700
2660400	0.7	-0.0035011700
2664000	0.7	-0.0035011700
2667600	0.2	-0.0035011700
2671200	0.1	-0.0035011700
2674800	0.1	-0.0035011700
2678400	0	-0.0119949500
2682000	0.2	-0.0119949500
2685600	0.3	-0.0119949500
2689200	0.4	-0.0119949500
2692800	0.1	-0.0119949500
2696400	0.1	-0.0119949500
2700000	0	-0.0119949500
2703600	0	-0.0119949500
2707200	0	-0.0119949500
2710800	0	-0.0119949500
2714400	0	-0.0119949500
2718000	0	-0.0119949500
2721600	0	-0.0119949500
2725200	0	-0.0119949500
2728800	0	-0.0119949500
2732400	0	-0.0119949500
2736000	0	-0.0119949500
2739600	0	-0.0119949500
2743200	0	-0.0119949500
2746800	0	-0.0119949500
2750400	0	-0.0119949500
2754000	0	-0.0119949500
2757600	0	-0.0119949500
2761200	0	-0.0119949500
2764800	0	-0.0135397600
2768400	0	-0.0135397600
2772000	0	-0.0135397600
2775600	0	-0.0135397600
2779200	0	-0.0135397600
2782800	0	-0.0135397600
2786400	0	-0.0135397600
2790000	0	-0.0135397600
2793600	0	-0.0135397600
2797200	0	-0.0135397600
2800800	0	-0.0135397600
2804400	0	-0.0135397600
2808000	0.7	-0.0135397600
2811600	0.5	-0.0135397600
2815200	0.1	-0.0135397600
2818800	0	-0.0135397600
2822400	0	-0.0135397600
2826000	0.1	-0.0135397600
2829600	0	-0.0135397600
2833200	0.1	-0.0135397600
2836800	0	-0.0135397600
2840400	0.1	-0.0135397600
2844000	0.1	-0.0135397600
2847600	0	-0.0135397600
2851200	0	-0.0279323200
2854800	0	-0.0279323200
2858400	0	-0.0279323200
2862000	0	-0.0279323200
2865600	0	-0.0279323200
2869200	0	-0.0279323200
2872800	0	-0.0279323200
2876400	0	-0.0279323200
2880000	0	-0.0279323200
2883600	0	-0.0279323200
2887200	0	-0.0279323200
2890800	0	-0.0279323200
2894400	0	-0.0279323200
2898000	0	-0.0279323200
2901600	0	-0.0279323200
2905200	0	-0.0279323200
2908800	0	-0.0279323200
2912400	0	-0.0279323200
2916000	0	-0.0279323200
2919600	0	-0.0279323200
2923200	0	-0.0279323200
2926800	0	-0.0279323200
2930400	0	-0.0279323200
2934000	0	-0.0279323200
2937600	0.1	-0.0343814700
2941200	0	-0.0343814700
2944800	0.1	-0.0343814700
2948400	1.4	-0.0343814700
2952000	0.9	-0.0343814700
2955600	0.8	-0.0343814700
2959200	0	-0.0343814700
2962800	0	-0.0343814700
2966400	0	-0.0343814700
2970000	0	-0.0343814700
2973600	0	-0.0343814700
2977200	0	-0.0343814700
2980800	0	-0.0343814700
2984400	0	-0.0343814700
2988000	0	-0.0343814700
2991600	0	-0.0343814700
2995200	0	-0.0343814700
2998800	0	-0.0343814700
3002400	0	-0.0343814700
3006000	0	-0.0343814700
3009600	0	-0.0343814700
3013200	0	-0.0343814700
3016800	0	-0.0343814700
3020400	0	-0.0343814700
3024000	0	-0.0485226600
3027600	0	-0.0485226600
3031200	0	-0.0485226600
3034800	0	-0.0485226600
3038400	0	-0.0485226600
3042000	0	-0.0485226600
3045600	0.1	-0.0485226600
3049200	0	-0.0485226600
3052800	0	-0.0485226600
3056400	0	-0.0485226600
3060000	0	-0.0485226600
3063600	0	-0.0485226600
3067200	0	-0.0485226600
3070800	0	-0.0485226600
