					
#					
#	POINT	1	[pressure	head	cm]
#					
#					
#					
#	Obs	Obs	Obs		
2140	-18.3	-18.8		39.47293951	
2140	-18.8	-18.7		39.57905907	
2150	-18.4	-18.7		39.68517863	
2150	-18.3	-18.7		39.7912982	
2160	-18.3	-18.9		39.89741776	
2160	-18.3	-19		40.00353732	
2170	-19	-18.8		40.10965688	
2170	-18.7	-18.6		40.21577644	
2180	-18.4	-18.6		40.321896	
2180	-18.5	-18.7		40.42801556	
2190	-18.5	-18.6		40.53413513	
2190	-18.2	-18.6		40.64025469	
2200	-18	-18.7		40.74637425	
2200	-18.5	-18.8		40.85249381	
2210	-18.6	-18.9		40.95861337	
2210	-18.7	-18.8		41.06473293	
2220	-18.4	-18.6		41.17085249	
2220	-18.4	-18.6		41.27697206	
2230	-18.3	-18.5		41.38309162	
2230	-18.1	-18.5		41.48921118	
2240	-17.8	-18.6		41.59533074	
2240	-18.4	-18.6		41.7014503	
2250	-18.3	-18.7		41.80756986	
2250	-18.2	-18.8		41.91368942	
2260	-18.3	-18.8		42.01980898	
2260	-18.4	-18.6		42.12592855	
2270	-18.2	-18.5		42.23204811	
2270	-18.2	-18.5		42.33816767	
2280	-18.2	-18.4		42.44428723	
2280	-17.6	-18.6		42.55040679	
2290	-18.1	-18.6		42.65652635	
2290	-18.2	-18.7		42.76264591	
2300	-18.4	-18.9		42.86876548	
2300	-18.6	-18.7		42.97488504	
2310	-18.3	-18.6		43.0810046	
2310	-18.2	-18.5		43.18712416	
2320	-18.1	-18.5		43.29324372	
2320	-18	-18.5		43.39936328	
2330	-18	-18.6		43.50548284	
2330	-18.1	-18.6		43.61160241	
2340	-18.1	-18.7		43.71772197	
2340	-18.2	-18.8		43.82384153	
2350	-18.3	-18.7		43.92996109	
2350	-18.2	-18.6		44.03608065	
2360	-18.2	-18.4		44.14220021	
2360	-17.6	-18.6		44.24831977	
2370	-18	-18.6		44.35443933	
2370	-18.1	-18.5		44.4605589	
2380	-17.9	-18.6		44.56667846	
2380	-18	-18.6		44.67279802	
2390	-18	-18.7		44.77891758	
2390	-17.9	-18.9		44.88503714	
2400	-18.2	-18.6		44.9911567	
2400	-18.2	-18.5		45.09727626	
2410	-17.8	-18.4		45.20339583	
2410	-17.7	-18.5		45.30951539	
2420	-18	-18.5		45.41563495	
2420	-17.8	-18.5		45.52175451	
2430	-17.9	-18.7		45.62787407	
2430	-18	-18.7		45.73399363	
2440	-18.1	-18.5		45.84011319	
2440	-17.9	-18.4		45.94623276	
2450	-17.5	-18.4		46.05235232	
2450	-17.7	-18.4		46.15847188	
2460	-17.8	-18.4		46.26459144	
2460	-17.8	-18.4		46.370711	
2470	-17.7	-18.4		46.47683056	
2470	-17.7	-18.6		46.58295012	
2480	-17.9	-18.7		46.68906969	
2480	-18.1	-18.5		46.79518925	
2490	-17.9	-18.3		46.90130881	
2490	-17.2	-18.3		47.00742837	
2500	-17.7	-18.3		47.11354793	
2500	-17.6	-18.3		47.21966749	
2510	-17.7	-18.3		47.32578705	
2510	-17.7	-18.4		47.43190661	
2520	-17.6	-18.5		47.53802618	
2520	-17.8	-18.7		47.64414574	
2530	-18	-18.6		47.7502653	
2530	-18	-18.5		47.85638486	
2540	-17.8	-18.8		47.96250442	
2540	-17.7	-18.8		48.06862398	
2550	-18.1	-18.9		48.17474354	
2550	-18.3	-19		48.28086311	
2560	-18.1	-19		48.38698267	
2560	-18.2	-18.9		48.49310223	
2570	-18.1	-18.9		48.59922179	
2570	-18	-19.2		48.70534135	
2580	-18.6	-19.3		48.81146091	
2580	-18.5	-19		48.91758047	
2590	-18.1	-18.8		49.02370004	
2590	-18	-18.8		49.1298196	
2600	-17.9	-18.8		49.23593916	
2600	-17.9	-18.8		49.34205872	
2610	-17.9	-18.8		49.44817828	
2610	-17.8	-18.7		49.55429784	
2620	-17.8	-18.8		49.6604174	
2620	-17.9	-19		49.76653696	
2630	-18.2	-19.1		49.87265653	
2630	-18.4	-18.8		49.97877609	
2640	-17.6	-18.7		50.08489565	
2640	-17.7	-18.6		50.19101521	
2650	-17.6	-18.6		50.29713477	
